Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
341502594680,PHONEORDER,CCA,2024-05-29 11:57:15,6525917-V1-OB-54-6914192,Y,2024-05-29 11:57:42,Y
341502772807,PHONEORDER,CCA,2024-05-29 13:28:49,4181212-V1-OB-5304610,Y,2024-05-29 13:30:40,Y
341503591198,PHONEORDER,CCA,2024-05-29 14:19:45,6525917-V1-OB-54-6914192,Y,2024-05-29 14:20:50,Y
341510106857,PHONEORDER,CCA,2024-05-30 08:46:23,2408764-V1-WW-18,null,2024-05-30 08:46:24,Y
341510297383,PHONEORDER,CCA,2024-05-30 13:32:28,6525917-V1-OB-54-6914192,null,2024-05-30 13:32:28,Y
341510451782,PHONEORDER,CCA,2024-05-30 09:10:36,2788233-V1-OL-957408,null,2024-05-30 09:10:36,Y
341510510405,PHONEORDER,CCA,2024-05-30 08:13:18,129712-V1-18-2237148,null,2024-05-30 08:13:19,Y
341510525015,PHONEORDER,CCA,2024-05-30 14:11:45,5206538-V1-60-8446385,null,2024-05-30 14:11:45,Y
341510525015,PHONEORDER,CCA,2024-05-30 14:11:45,7121525-V1-OB-60-4638220,null,2024-05-30 14:11:45,Y
341510926494,PAPERORDER,CCA,2024-05-30 13:34:33,5323264-V1-24-7567789,null,2024-05-30 13:34:35,Y
341512805506,PHONEORDER,CCA,2024-05-30 12:45:50,2230780-V1-UN-1200,Y,2024-05-30 12:46:49,Y
341512805506,PHONEORDER,CCA,2024-05-30 12:45:50,2230780-V1-UN-1300,Y,2024-05-30 12:46:49,Y
341512805506,PHONEORDER,CCA,2024-05-30 12:45:50,2230780-V1-UN-1700,Y,2024-05-30 12:46:49,Y
341512805506,PHONEORDER,CCA,2024-05-30 12:45:50,2230780-V1-UN-3100,Y,2024-05-30 12:46:49,Y
341512805506,PHONEORDER,CCA,2024-05-30 12:45:50,2230780-V1-UN-4100,Y,2024-05-30 12:46:49,Y
341513119469,PHONEORDER,CCA,2024-05-30 06:38:55,6525917-V1-OB-54-6914192,Y,2024-05-30 06:39:05,Y
341520066315,PHONEORDER,CCA,2024-05-31 13:31:19,2119596-V1-BD,null,2024-05-31 13:31:19,Y
341520066315,PHONEORDER,CCA,2024-05-31 13:31:19,9262562-V1-BD-3869924,null,2024-05-31 13:31:19,Y
341520089218,PHONEORDER,CCA,2024-05-31 10:15:08,5516150-V1-OB,null,2024-05-31 10:15:08,Y
341520227966,PHONEORDER,CCA,2024-05-31 15:12:26,470396-V1-PC-2329222,null,2024-05-31 15:12:26,Y
